"_NAME_","_CLASS_","_KEYNAME_","_STARTDATE_","_ENDDATE_","_DATEINTRVL_","_STARTDT_","_ENDDT_","_DTINTRVL_","_STARTOBS_","_ENDOBS_","_OBSINTRVL_","_TYPE_","_VALUE_","_PULSE_","_DUR_BEFORE_","_DUR_AFTER_","_SLOPE_BEF_","_SLOPE_AFT_","_SHIFT_","_TCPARM_","_RULE_","_PERIOD_","_LABEL_"
"E1","SIMPLE",".","01JAN2000","        .",".","               .","               .",".","           .","           .","           .","POINT","           1","MONTH","           3","           4","GROWTH","GROWTH","           0","         0.5","ADD",".","."
"myeventlabel","SIMPLE",".","01MAY1999","        .",".","               .","               .",".","           .","           .","           .","POINT","           1",".","           0","           0","GROWTH","GROWTH","           0","         0.5","ADD",".","This is MyEVent"
"myeventlabel","SIMPLE",".","01JUL1999","        .",".","               .","               .",".","           .","           .","           .","POINT","           1",".","           0","           0","GROWTH","GROWTH","           0","         0.5","ADD",".","This is MyEVent"
"myeventlabel","SIMPLE",".","01SEP1999","        .",".","               .","               .",".","           .","           .","           .","POINT","           1",".","           0","           0","GROWTH","GROWTH","           0","         0.5","ADD",".","This is MyEVent"
"point1","SIMPLE",".","01JUN2001","        .",".","               .","               .",".","           .","           .","           .","POINT","           1",".","           0","           4","GROWTH","GROWTH","           0","         0.5","ADD",".","."
"E2","SIMPLE",".","16OCT2000","        .",".","               .","               .",".","           .","           .","           .","POINT","           1",".","           0","           0","GROWTH","GROWTH","           0","         0.5","ADD","SEMIYEAR","."
"fpulse","SIMPLE",".","01NOV2000","        .",".","               .","               .",".","           .","           .","           .","POINT","           1","MONTH","           0","           0","GROWTH","GROWTH","           0","         0.5","ADD",".","."
"fshift","SIMPLE",".","02FEB2001","        .",".","               .","               .",".","           .","           .","           .","POINT","           1",".","           0","           0","GROWTH","GROWTH","           5","         0.5","ADD",".","."
"fperiod","SIMPLE",".","01JAN1999","        .",".","               .","               .",".","           .","           .","           .","POINT","           1",".","           0","           0","GROWTH","GROWTH","           0","         0.5","ADD","SEMIYEAR","."
"ftcparm","SIMPLE",".","15FEB2000","        .",".","               .","               .",".","           .","           .","           .","TC","           1",".","           0","           A","GROWTH","DECAY","           0","         0.4","ADD",".","."
"familybd","SIMPLE",".","20JUN2000","        .",".","               .","               .",".","           .","           .","           .","POINT","           3",".","           0","           0","GROWTH","GROWTH","           0","         0.5","ADD",".","."
"xmasrp","SIMPLE","CHRISTMAS","        .","        .",".","               .","               .",".","           .","           .","           .","RAMP","           1",".","           3","           0","GROWTH","GROWTH","           0","         0.5","MIN",".","."
"easterrp","SIMPLE","EASTER","        .","        .",".","               .","               .",".","           .","           .","           .","RAMP","           1",".","           3","           0","GROWTH","GROWTH","           0","         0.5","MIN",".","."
"twoevents","COMB","EASTERRP","        .","        .",".","               .","               .",".","           .","           .","           .",".","           .",".","           .","           .",".",".","           .","           .","MIN",".","."
"twoevents","COMB","XMASRP","        .","        .",".","               .","               .",".","           .","           .","           .",".","           .",".","           .","           .",".",".","           .","           .","MIN",".","."
