"regionName","productLine","productName","_NAME_","_EVENT_","_REQUIRED_","_SIGN_"
"Region1","Line1","Product1","sale","E1","YES","IGNORE"
"Region1","Line1","Product2","sale","Point1","YES","IGNORE"
"Region1","Line1","Product3","","","",""
"Region2","Line2","Product4","","","",""
"Region2","Line2","Product5","","","",""
"Region2","Line2","Product6","","","",""
"Region2","Line2","Product7","","","",""
"Region2","Line3","Product10","","","",""
"Region2","Line3","Product11","","","",""
"Region2","Line3","Product8","","","",""
"Region2","Line3","Product9","","","",""
"Region3","Line4","Product12","","","",""
"Region3","Line4","Product13","","","",""
"Region3","Line4","Product14","","","",""
"Region3","Line4","Product15","","","",""
"Region3","Line5","Product16","","","",""
"Region3","Line5","Product17","","","",""
